# x	f(x)	F(x)	error
1.665	-5.21822	-5.23327	0.0150531
1.6665	-5.18672	-5.20612	0.019397
1.668	-5.1548	-5.1785	0.0236977
1.6695	-5.12244	-5.1504	0.0279529
1.671	-5.08967	-5.12183	0.0321605
1.6725	-5.05646	-5.09278	0.0363185
1.674	-5.02283	-5.06325	0.0404247
1.6755	-4.98877	-5.03325	0.0444771
1.677	-4.95429	-5.00276	0.0484741
1.6785	-4.91938	-4.97179	0.0524136
1.68	-4.88405	-4.94034	0.056294
1.6815	-4.8483	-4.90841	0.0601136
1.683	-4.81212	-4.87599	0.0638708
1.6845	-4.77552	-4.84309	0.067564
1.686	-4.7385	-4.80969	0.0711918
1.6875	-4.70106	-4.77582	0.0747529
1.689	-4.6632	-4.74145	0.0782457
1.6905	-4.62493	-4.7066	0.0816691
1.692	-4.58623	-4.67126	0.0850218
1.6935	-4.54712	-4.63543	0.0883028
1.695	-4.5076	-4.59911	0.0915108
1.6965	-4.46765	-4.5623	0.0946449
1.698	-4.4273	-4.525	0.097704
1.6995	-4.38653	-4.48722	0.100687
1.701	-4.34535	-4.44895	0.103594
1.7025	-4.30377	-4.41019	0.106423
1.704	-4.26177	-4.37094	0.109174
1.7055	-4.21936	-4.33121	0.111846
1.707	-4.17655	-4.29099	0.114438
1.7085	-4.13334	-4.25029	0.11695
1.71	-4.08972	-4.2091	0.119382
1.7115	-4.04569	-4.16743	0.121732
1.713	-4.00127	-4.12527	0.124
1.7145	-3.95645	-4.08264	0.126187
1.716	-3.91123	-4.03952	0.128291
1.7175	-3.86561	-3.99592	0.130312
1.719	-3.8196	-3.95185	0.13225
1.7205	-3.7732	-3.9073	0.134106
1.722	-3.7264	-3.86228	0.135877
1.7235	-3.67922	-3.81678	0.137566
1.725	-3.63164	-3.77081	0.139171
1.7265	-3.58368	-3.72437	0.140692
1.728	-3.53534	-3.67747	0.14213
1.7295	-3.48661	-3.6301	0.143484
1.731	-3.43751	-3.58226	0.144755
1.7325	-3.38802	-3.53396	0.145943
1.734	-3.33816	-3.4852	0.147047
1.7355	-3.28792	-3.43599	0.148069
1.737	-3.23731	-3.38632	0.149008
1.7385	-3.18633	-3.33619	0.149864
1.74	-3.13498	-3.28562	0.150639
1.7415	-3.08327	-3.2346	0.151331
1.743	-3.03119	-3.18313	0.151943
1.7445	-2.97875	-3.13122	0.152473
1.746	-2.92594	-3.07887	0.152922
1.7475	-2.87279	-3.02608	0.153292
1.749	-2.81927	-2.97285	0.153582
1.7505	-2.76541	-2.9192	0.153793
1.752	-2.71119	-2.86512	0.153926
1.7535	-2.65663	-2.81061	0.15398
1.755	-2.60172	-2.75567	0.153957
1.7565	-2.54646	-2.70032	0.153858
1.758	-2.49087	-2.64456	0.153683
1.7595	-2.43494	-2.58837	0.153432
1.761	-2.37868	-2.53178	0.153107
1.7625	-2.32208	-2.47479	0.152708
1.764	-2.26515	-2.41739	0.152236
1.7655	-2.2079	-2.35959	0.151692
1.767	-2.15032	-2.3014	0.151076
1.7685	-2.09242	-2.24281	0.150389
1.77	-2.0342	-2.18384	0.149633
1.7715	-1.97567	-2.12448	0.148808
1.773	-1.91682	-2.06474	0.147915
1.7745	-1.85767	-2.00462	0.146954
1.776	-1.7982	-1.94413	0.145928
1.7775	-1.73844	-1.88327	0.144836
1.779	-1.67837	-1.82205	0.14368
1.7805	-1.618	-1.76046	0.14246
1.782	-1.55734	-1.69852	0.141179
1.7835	-1.49639	-1.63623	0.139836
1.785	-1.43515	-1.57358	0.138432
1.7865	-1.37363	-1.5106	0.13697
1.788	-1.31182	-1.44727	0.135449
1.7895	-1.24974	-1.38361	0.133871
1.791	-1.18738	-1.31961	0.132237
1.7925	-1.12474	-1.25529	0.130548
1.794	-1.06184	-1.19065	0.128805
1.7955	-0.998678	-1.12569	0.12701
1.797	-0.935252	-1.06041	0.125163
1.7985	-0.871567	-0.994832	0.123265
1.8	-0.807627	-0.928945	0.121318
1.8015	-0.743437	-0.862759	0.119322
1.803	-0.678999	-0.796279	0.11728
1.8045	-0.614318	-0.729509	0.115192
1.806	-0.549396	-0.662455	0.113059
1.8075	-0.484238	-0.59512	0.110882
1.809	-0.418847	-0.527509	0.108663
1.8105	-0.353227	-0.459629	0.106403
1.812	-0.287381	-0.391483	0.104102
1.8135	-0.221314	-0.323077	0.101763
